;;;;;;Procurement Monthly Report;;;;;;;;;;;;;;;;;
Parameters;;;;;;;;;;;;;;;;;;;;;;;
Approved PR From Date;;;;;01/01/2024;;Approved PR to Date;;;31/01/2024;;;;;;;;;;;;;
Approved PO From Date;;;;;01/01/2024;;Approved PO to Date;;;31/01/2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PR TYPE;;;General;;Technical;;Total PR (PO);;;;;;;;;;;;;;;;
;;;57;;111;;168;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Urgent Type;;;AOG;;Urgent;;Normal;None;;;;;;;;;;;;;;;
;;;31;;63;;28;46;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PO Types;;;Single Source;;Competitive;;Sole Source;Direct Purchase;;;;;;;;;;;;;;;
;;;4;;30;;34;100;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Variation PO;;;PO Number;;Percentage of Total PO %;;Total Diff (SAR);;;;;;;;;;;;;;;;
;;;158;;59%;;-30,877,009.68;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Purchase Requisition No.;;;Purchase Order No.;;Department;;PR Amount (SAR);PO Amount (SAR);Diff Amount (SAR);PO Variation %;Savings;PO Status;Approved PO Date;Approved PR Date;Days;PR Type;PO Types;PO Discerption;Vendor name;Payments terms;;;
;;;;;;;;;;;(SAR;;;;;;;;;;;;
PR-233799;;;PO-240044;;?Operation?;;0.01;0;-0.01;-100%;;?Closed For Receiving?;01/07/2024;01/07/2024;0;Technical;Direct Purchase ;PR Priority: URGENTModel of aircraft: H145/TSN:191:30A/C Registration number: HZ-RC54/MSN:21111Reason for removal: 1. SACS Invertor Control Unit don't submit voltage to compressor.Description of requirement: PBH OPP-025002;Airbus Helicopters Arabia ;Net 30;;;
PR-240058;;;PO-240045;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/07/2024;01/07/2024;0;Technical;Direct Purchase ;PR Priority: AOGModel of aircraft: H145/TSN: 36:25A/C Registration number: BK117 D-3 / HZ-HC74/MSN:21232Reason: Aircraft multi-Purpose Camera not showed in MFD4Description of requirement: WARRANTY (TE-2023-BK117-07566);Airbus Helicopters Arabia ;Net 30;;;
PR-233843;;;PO-240046;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/07/2024;01/07/2024;0;Technical;Direct Purchase ;PR Priority: AOGModel of aircraft: H145/TSN: 36:25A/C Registration number: HZ-HC74/MSN:21232Reason: Eng2 Vent push button doesn't operate when is pushedDescription of requirement: WARRANTY;Airbus Helicopters Arabia ;Net 30;;;
PR-240024;;;PO-240048;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/07/2024;01/03/2024;4;Technical;Direct Purchase ;PIPE ASSY (PRESSURE AUX SYSTEM II) Aircraft Type: AW139 Aircraft Registration: HZ-HC7 Aircraft Serial Number: 31838 Aircraft Total Flight Hours: 519:28 Aircraft Landing: 1072 Reason: Chafing Req. SB139-672;Leonardo S.P.A ;Net 30;;;
PR-233456;;;PO-240049;;?Operation?;;20,659.50;21,885.46;-15,379.50;-74%;;?Closed For Receiving?;01/07/2024;01/02/2024;5;General;Direct Purchase ;"The Commercial Agreement covers the purchase of ""Dry"" lease training in 2023 on the H145 Simulator";Airbus Helicopters Deutschland ;Immediate;;;
PR-240013;;;PO-240050;;?Operation?;;241,574.91;253,742.74;-180,357.93;-75%;;?Closed?;01/11/2024;01/02/2024;9;Technical;Sole Source ;RACK - CARGO SWING for stock.new catalog itemH125 - required date 30 Jan 24.;Airbus Helicopters Arabia ;Net 30;;;
PR-240044;;;PO-240051;;?CEO Office?;;270,000.00;261,575.00;-8,425.00;-3%;13,000.00;?Closed?;01/11/2024;01/07/2024;4;General;Single Source ;Supply and install tanks capacity of 10,000 Ltrs and generators for connect Water supply, drainage & Electricity Extensions for the Containers. Rental Of Generators (75 KVA & 20 KVA) 3 months rental incl maintenance and weekly fuel.;???? ???? ???????? ???? ??? ???? ;50% Advance;;;
PR-233834;;;PO-240054;;?Operation?;;232,919.27;275,037.35;-166,564.84;-72%;;?Open?;17/01/2024;01/02/2024;15;Technical;Sole Source ;2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 6.;Leonardo S.P.A ;Net 30;;;
PR-233832;;;PO-240056;;?Operation?;;277,079.54;152,502.40;-240,287.41;-87%;;?Open?;17/01/2024;01/02/2024;15;Technical;Sole Source ;2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 4.;Leonardo S.P.A ;Net 30;;;
PR-233833;;;PO-240059;;?Operation?;;17,842.76;8,229.40;-15,857.37;-89%;;?Open?;01/07/2024;01/02/2024;5;Technical;Direct Purchase ;2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 5;Leonardo S.P.A ;Net 30;;;
PR-233835;;;PO-240060;;?Operation?;;48,003.42;85,234.11;-27,440.18;-57%;;?Open?;01/10/2024;01/02/2024;8;Technical;Sole Source ;2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 7.;Leonardo S.P.A ;Net 30;;;
PR-233771;;;PO-240063;;?Operation?;;500;1,370.00;870;174%;;?Closed?;01/08/2024;01/07/2024;1;Technical;Direct Purchase ;Urgent / Send for Load Test.;Equipment Corner Industrial Company ;Net 30;;;
PR-240073;;;PO-240064;;?Operation?;;47,051.20;11,576.86;-43,965.19;-93%;;?Closed For Receiving?;01/08/2024;01/07/2024;1;Technical;Direct Purchase ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 7;Boeing Distribution Services Inc. ;Net 30;;;
PR-240071;;;PO-240066;;?Operation?;;506.82;1,274.80;-167;-33%;;?Closed For Receiving?;01/08/2024;01/07/2024;1;Technical;Direct Purchase ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 5;Boeing Distribution Services Inc. ;Net 30;;;
PR-232300;;;PO-240067;;?Finance?;;30,000,000.00;7,877,527.35;-27,900,110.00;-93%;;?Open?;01/11/2024;01/02/2024;9;General;Competitive ;Aircrafts insurance;Tawuniya Insurance Company ;Net 30;;;
PR-233849;;;PO-240068;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/08/2024;01/01/2024;7;Technical;Direct Purchase ;PR Priority: NORMALModel of aircraft: AW139/TSN: 225:23A/C Registration number: HZ-HC23/MSN:31984Reason: battery with low voltageDescription of requirement: WARRANTY;Leonardo S.P.A ;Net 30;;;
